game_id,week,opponent,team_score,opp_score,won,home_away
2024_01_BAL_KC,1,BAL,27,20,TRUE,Home
2024_02_CIN_KC,2,CIN,26,25,TRUE,Home
2024_03_KC_ATL,3,ATL,22,17,TRUE,Away
2024_04_KC_LAC,4,LAC,17,10,TRUE,Away
2024_05_NO_KC,5,NO,26,13,TRUE,Home
2024_07_KC_SF,7,SF,28,18,TRUE,Away
2024_08_KC_LV,8,LV,27,20,TRUE,Away
2024_09_TB_KC,9,TB,30,24,TRUE,Home
2024_10_DEN_KC,10,DEN,16,14,TRUE,Home
2024_11_KC_BUF,11,BUF,21,30,FALSE,Away
2024_12_KC_CAR,12,CAR,30,27,TRUE,Away
2024_13_LV_KC,13,LV,19,17,TRUE,Home
2024_14_LAC_KC,14,LAC,19,17,TRUE,Home
2024_15_KC_CLE,15,CLE,21,7,TRUE,Away
2024_16_HOU_KC,16,HOU,27,19,TRUE,Home
2024_17_KC_PIT,17,PIT,29,10,TRUE,Away
2024_18_KC_DEN,18,DEN,0,38,FALSE,Away
